customer_id,net_revenue,cumulative_revenue,cumulative_pct
99,148240.76,148240.76,0.1883544489671516
157,131425.26,279666.02,0.3553431532052075
286,125822.11,405488.13,0.5152125049066851
335,125362.68,530850.81,0.6744981056580935
280,121995.47,652846.28,0.8295053353049104
260,121162.31,774008.5900000001,0.9834539533208811
345,120992.8,895001.3900000001,1.137187192228944
174,120177.8,1015179.1900000002,1.2898848935702252
289,119773.49,1134952.6800000002,1.442068879336506
17,118672.99,1253625.6700000002,1.5928545717380715
103,118062.05,1371687.7200000002,1.7428640048500057
259,117337.84,1489025.5600000003,1.8919532580095
245,117319.84,1606345.4000000004,2.041019640400648
257,116554.88,1722900.2800000003,2.1891140659610167
127,116171.37,1839071.6500000004,2.336721204389807
369,115769.87,1954841.5200000005,2.483818197624655
263,115388.82,2070230.3400000005,2.6304310293995994
296,115050.79,2185281.1300000004,2.776614360850986
34,114889.45,2300170.5800000005,2.9225926939820974
188,113851.9,2414022.4800000004,3.0672527179077926
61,113596.88,2527619.3600000003,3.2115887138699533
20,112207.2,2639826.5600000005,3.3541589848679365
201,111538.07,2751364.6300000004,3.4958790604646186
272,111411.48,2862776.1100000003,3.6374382910299152
324,111021.31,2973797.4200000004,3.7785017722793452
254,110663.14,3084460.5600000005,3.9191101633566356
131,110345.93,3194806.4900000007,4.059315507965756
158,109501.01,3304307.5000000005,4.198447298708711
393,109049.95,3413357.4500000007,4.3370059734088775
278,107747.83,3521105.2800000007,4.473910176726887
400,107604.03,3628709.3100000005,4.610631668017777
283,107333.11,3736042.4200000004,4.747008928833093
141,107232.8,3843275.22,4.883258735938808
270,107201.16,3950476.3800000004,5.019468341316165
419,107152.49,4057628.8700000006,5.155616106677111
48,107087.8,4164716.6700000004,5.2916816770378166
392,106509.83,4271226.5,5.427012879732912
358,106433.97,4377660.47,5.562247694845411
140,105899.75,4483560.22,5.696803730965362
295,105399.87,4588960.09,5.830724620436378
233,103909.68,4692869.77,5.962752077113969
45,103742.65,4796612.42,6.09456730576729
290,103614.2,4900226.62,6.226219326076497
318,103490.81,5003717.43,6.35771456726869
277,103099.28,5106816.71,6.488712331131411
76,102530.43,5209347.14,6.618987315184481
114,102175.95,5311523.09,6.748811897572923
297,101365.09,5412888.18,6.877606202671302
390,101155.73,5514043.91,7.006134495321853
159,101046.71,5615090.62,7.13452426735212
193,100863.71,5715954.33,7.262681519904203
276,100818.8,5816773.13,7.390781709889261
351,100462.74,5917235.87,7.518429490664468
43,99925.95,6017161.82,7.645395227009649
70,99871.98,6117033.800000001,7.77229238916774
408,99780.61,6216814.410000001,7.899073456764508
113,99720.28,6316534.690000001,8.025777869169369
109,99627.23,6416161.920000002,8.152364052407863
148,99182.36,6515344.280000002,8.278384984606685
122,99161.81,6614506.090000002,8.404379806011644
222,99070.42,6713576.510000002,8.530258507443317
71,98933.1,6812509.610000001,8.655962730324473
36,98478.0,6910987.610000001,8.781088703945947
249,97966.5,7008954.110000001,8.905564766566918
146,97747.52,7106701.630000001,9.029762593584977
145,97315.8,7204017.430000001,9.153411877930237
85,97208.93,7301226.36,9.276925373441433
285,97047.16,7398273.5200000005,9.400233324275112
162,96989.82,7495263.340000001,9.523468419005624
173,96945.76,7592209.100000001,9.646647531177619
154,96885.43,7689094.53,9.769749988157708
362,96705.66,7785800.19,9.892624029691929
308,96268.08,7882068.2700000005,10.014942082847659
214,96015.04,7978083.3100000005,10.13693862382437
326,95820.51,8073903.82,10.258687995325174
420,95730.3,8169634.12,10.380322746158615
261,95664.81,8265298.93,10.501874285513226
383,95588.05,8360886.9799999995,10.623328293746821
394,95469.42,8456356.4,10.744631570911036
134,95154.09,8551510.49,10.865534190331772
346,95054.03,8646564.52,10.986309673692467
26,94725.31,8741289.83,11.106667485999235
363,94685.69,8835975.52,11.226974957203677
176,94661.53,8930637.049999999,11.347251730754603
368,94613.74,9025250.79,11.467467782415573
111,94468.82,9119719.61,11.587499698979393
231,94322.94,9214042.549999999,11.707346260671747
192,94241.09,9308283.639999999,11.827088823898041
156,93506.76,9401790.399999999,11.94589834871769
388,93085.9,9494876.299999999,12.064173129561443
18,93084.34,9587960.639999999,12.182445928271939
144,92985.23,9680945.87,12.300592797990726
84,92874.32,9773820.19,12.418598745658553
337,92812.24,9866632.43,12.536525814587552
66,92651.08,9959283.51,12.654248113903957
322,92648.53,10051932.04,12.771967173194845
291,92637.14,10144569.18,12.889671760371769
331,92468.63,10237037.81,13.007162239039022
167,92395.98,10329433.790000001,13.124560408744035
50,92322.07,10421755.860000001,13.24186466853302
65,92251.03,10514006.89,13.359078665022933
302,92103.7,10606110.59,13.476105464273935
341,91844.31,10697954.9,13.592802683047086
19,91707.33,10789662.23,13.709325855273125
25,91705.26,10881367.49,13.825846397360802
407,91593.77,10972961.26,13.94222528045054
96,91445.97,11064407.23,14.058416369120193
311,91237.67,11155644.9,14.174342792176153
191,90681.87,11246326.77,14.289563016729511
237,90541.93,11336868.7,14.404605433764964
153,90384.12,11427252.819999998,14.519447337691933
3,90327.01,11517579.829999998,14.634216677753331
171,90225.18,11607805.009999998,14.748856632795803
229,90223.31,11698028.319999998,14.863494211819567
189,89980.59,11788008.909999998,14.977823391238163
380,89948.68,11877957.589999998,15.092112025866877
63,89670.65,11967628.239999998,15.206047396066518
813,89454.21,12057082.45,15.319707757982783
219,89408.39,12146490.84,15.433309901087622
1,89239.95,12235730.79,15.546698024624671
39,89112.32,12324843.11,15.659923981708165
165,89014.74,12413857.85,15.773025953815258
372,88839.69,12502697.54,15.885905507700185
350,88796.35,12591493.889999999,15.998729993857328
413,88786.47,12680280.36,16.111541926503847
310,88725.0,12769005.36,16.224275755476462
256,88533.33,12857538.69,16.336766048884137
100,88482.2,12946020.889999999,16.44919137660373
22,87982.97,13034003.86,16.560982383563243
405,87972.33,13121976.19,16.672759871357464
412,87923.19,13209899.379999999,16.784474921954104
319,87851.43,13297750.809999999,16.896098794420936
315,87535.29,13385286.099999998,17.007320979959715
216,87529.58,13472815.679999998,17.118535910382537
396,87441.42,13560257.099999998,17.229638824864395
317,87192.63,13647449.729999999,17.340425627209758
313,87020.15,13734469.879999999,17.450993276770436
371,86934.98,13821404.86,17.561452709478896
130,86754.22,13908159.08,17.67168246884923
194,86746.55,13994905.63,17.78190248273105
117,86700.45,14081606.08,17.892063922033934
